Descripción;Referencia;Unidad;Costo;Envío;Impuestos;Margen op.;Unidad2;Costo final unitario;C. Cable 1;C. Cable 2;C. Cable 3;C. Cable 4;C. Cable 42;C. con 1 1;C. Con 1 2;C. Con 1 22;C. Con 1 3;C. Con 2 1;C. Con 2 2;C. Con 2 22;C. Con 2 3;C. Otros 1;;;;
;MU/APC, SM, Premium;und;;0,025;0,0025;0,0033;1;0,0308;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;DIN METAL, SM, Premium;und;;0,025;0,0025;0,0033;1;0,0308;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;E2000, SM, Premium;und;;0,025;0,0025;0,0033;1;0,0308;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;E2000/APC, SM, Premium;und;;0,025;0,0025;0,0033;1;0,0308;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;MPO/UPC, SM, Value;und;3;0,03;0,303;0,39996;1;3,7330;0;0;0;0;0;0;1;0;0;0;1;0;0;;;;;
;MPO/UPC, MM, Value;und;3;0,03;0,303;0,39996;1;3,7330;0;0;0;0;0;0;1;1;0;0;1;1;0;;;;;
;MPO/APC, SM, MALE, Value;und;3;0,03;0,303;0,39996;1;3,7330;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;;;;;0;0;1;0,0000;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Epoxico;353ND;lb;125;50;17,5;23,1;6000;0,0359;0;0;0;0;0;0;0;0;0;0;0;0;0;0,071866667;;;;
Cable;SM, G657A2, LSZH, 2mm, Value, Simplex;Km;22,12;10;3,212;7,0664;1000;0,0424;1;0;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657A2, LSZH, 3mm, Value, Simplex;Km;26,07;10;3,607;7,9354;1000;0,0476;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657A1, LSZH, 2mm, Value, Simplex;Km;21,75;10;3,175;6,985;1000;0,0419;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657A1, LSZH, 3mm, Value, Simplex;Km;25,77;10;3,577;7,8694;1000;0,0472;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G652D, LSZH, 2mm, Value, Simplex;Km;21,58;10;3,158;6,9476;1000;0,0417;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G652D, LSZH, 3mm, Value, Simplex;Km;24,97;10;3,497;7,6934;1000;0,0462;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657B3, LSZH, 2mm, Value, Simplex;Km;80,54;10;9,054;19,9188;1000;0,1195;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657B3, LSZH, 3mm, Value, Simplex;Km;88,59;10;9,859;21,6898;1000;0,1301;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;MM, OM1, LSZH, 2mm, Value, Simplex;Km;60,05;10;7,005;15,411;1000;0,0925;0;0;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM1, LSZH, 3mm, Value, Simplex;Km;66,04;10;7,604;16,7288;1000;0,1004;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM2, LSZH, 2mm, Value, Simplex;Km;52,15;10;6,215;13,673;1000;0,0820;0;0;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM2, LSZH, 3mm, Value, Simplex;Km;54,77;10;6,477;14,2494;1000;0,0855;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM3, LSZH, 2mm, Value, Simplex;Km;74,27;10;8,427;18,5394;1000;0,1112;0;0;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM3, LSZH, 3mm, Value, Simplex;Km;77,43;10;8,743;19,2346;1000;0,1154;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM4, LSZH, 2mm, Value, Simplex;Km;120,1;10;13,01;28,622;1000;0,1717;0;0;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM4, LSZH, 3mm, Value, Simplex;Km;128;10;13,8;30,36;1000;0,1822;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM5, LSZH, 2mm, Value, Simplex;Km;284,45;10;29,445;64,779;1000;0,3887;0;0;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM5, LSZH, 3mm, Value, Simplex;Km;297,99;10;30,799;67,7578;1000;0,4065;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;
;SM, G657A2, LSZH, 2mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;1;1;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657A2, LSZH, 3mm, Premium, Simplex;Km;220;10;23;50,6;1000;0,3036;1;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657A1, LSZH, 2mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657A1, LSZH, 3mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G652D, LSZH, 2mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G652D, LSZH, 3mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657B3, LSZH, 2mm, Premium, Simplex;Km;240;10;25;55;1000;0,3300;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657B3, LSZH, 3mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
;MM, OM1, LSZH, 2mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM1, LSZH, 3mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM2, LSZH, 2mm, Premium, Simplex;Km;231;10;24,1;53,02;1000;0,3181;0;1;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM2, LSZH, 3mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM3, LSZH, 2mm, Premium, Simplex;Km;240;10;25;55;1000;0,3300;0;1;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM3, LSZH, 3mm, Premiumm Simpex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM4, LSZH, 2mm, Premium, Simplex;Km;290;10;30;66;1000;0,3960;0;1;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM4, LSZH, 3mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM5, LSZH, 2mm, Premium, Simplex;Km;381;10;39,1;86,02;1000;0,5161;0;1;1;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM5, LSZH, 3mm, Premium, Simplex;Km;;10;1;2,2;1000;0,0132;0;1;0;0;0;0;0;1;0;0;0;1;0;;;;;
;SM, G657A2, LSZH, 12 FIBERS, MPO-12, Value, 3mm;Km;252,84;10;26,284;57,8248;1000;0,3469;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, G657A2, LSZH, 6 FIBERS, MPO-6, Value, 3mm;Km;102;10;11,2;24,64;1000;0,1478;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;MM, OM4, 12 FIBERS, MPO-12, Value, 3mm;Km;2500;10;251;552,2;1000;3,3132;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM4, Duplex, Value, 2mm;Km;210,34;10;22,034;29,08488;1000;0,2715;0;0;1;1;0;0;0;1;0;0;0;1;0;;;;;
;MM, OM3, Duplex, Value, 2mm;Km;116,28;10;12,628;16,66896;1000;0,1556;0;0;1;1;0;0;0;1;0;0;0;1;0;;;;;
;SM, G657A2, LSZH, 2mm, Duplex, Value;Km;41,8;10;5,18;6,8376;1000;0,0638;1;0;1;1;0;0;0;0;0;0;0;0;0;;;;;
;SM, DROP, Value, G657A2, Simplex;Km;35;10;4,5;9,9;1000;0,0594;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SM, DROP, Premium, G657A2, Simplex;Km;35;10;4,5;5,94;1000;0,0554;1;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
Lijas;Lija, 3um, Premium;und;1,48;;0,148;0,19536;240;0,0076;0;1;0;0;0;0;0;0;0;0;0;0;0;0,007597333;;;;
;Lija, 6um, Premium;und;1,69;;0,169;0,22308;240;0,0087;0;1;0;0;0;0;0;0;0;0;0;0;0;0,008675333;;;;
;Lija 3um, Silicon, Premium;und;1,88;;0,188;0,24816;240;0,0097;0;1;0;0;0;0;0;0;0;0;0;0;0;0,009650667;;;;
;Lija, 1um, Premium;und;1,48;;0,148;0,19536;240;0,0076;0;1;0;0;0;0;0;0;0;0;0;0;0;0,007597333;;;;
;Lija, ADS, Premium;und;0,98;;0,098;0,12936;240;0,0050;0;1;0;0;0;0;0;0;0;0;0;0;0;0,005030667;;;;
;Lija, 15um, Premium;und;1,4;;0,14;0,1848;12;0,1437;0;1;0;0;0;0;0;0;0;0;0;0;0;0,143733333;;;;
;Lija, 30um, Value;und;0,87;;0,087;0,11484;24;0,0447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
;Lija, 9um, Value;und;0,87;;0,087;0,11484;240;0,0045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
;Lija, 1um, Value;und;0,87;;0,087;0,11484;240;0,0045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
;Lija, ADS, Value;und;1,11;;0,111;0,14652;240;0,0057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
Empaque;Bolsa para 1 a 3 m simplex, Value;und;0,032;;0,0032;0,004224;1;0,0394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
